,Unnamed: 0,pid,task,condition,response,gt
0,0,2846,t1,harmonic,One sound,0
1,1,2846,t1,changing,One sound,0
2,2,2846,t1,harmonic,One sound,0
3,3,2846,t1,inharmonic,One sound,0
4,4,2846,t1,inharmonic,One sound,0
5,5,2846,t1,harmonic,One sound,0
6,6,2846,t1,changing,Two sounds,0
7,7,2846,t1,changing,Two sounds,0
8,8,2846,t1,inharmonic,Two sounds,0
0,0,2,t1,inharmonic,Two sounds,0
1,1,2,t1,inharmonic,Two sounds,0
2,2,2,t1,changing,Two sounds,0
3,3,2,t1,changing,Three or more sounds,0
4,4,2,t1,changing,Three or more sounds,0
5,5,2,t1,inharmonic,Three or more sounds,0
6,6,2,t1,harmonic,Two sounds,0
7,7,2,t1,harmonic,One sound,0
8,8,2,t1,harmonic,One sound,0
0,0,3,t1,harmonic,One sound,0
1,1,3,t1,inharmonic,Three or more sounds,0
2,2,3,t1,inharmonic,Three or more sounds,0
3,3,3,t1,changing,Two sounds,0
4,4,3,t1,harmonic,One sound,0
5,5,3,t1,changing,Two sounds,0
6,6,3,t1,changing,Two sounds,0
7,7,3,t1,inharmonic,Three or more sounds,0
8,8,3,t1,harmonic,One sound,0
0,0,4040,t1,inharmonic,One sound,0
1,1,4040,t1,changing,Three or more sounds,0
2,2,4040,t1,inharmonic,One sound,0
3,3,4040,t1,harmonic,One sound,0
4,4,4040,t1,changing,Three or more sounds,0
5,5,4040,t1,inharmonic,One sound,0
6,6,4040,t1,changing,Three or more sounds,0
7,7,4040,t1,harmonic,One sound,0
8,8,4040,t1,harmonic,One sound,0
0,0,5,t1,inharmonic,Two sounds,0
1,1,5,t1,changing,Three or more sounds,0
2,2,5,t1,inharmonic,Two sounds,0
3,3,5,t1,harmonic,One sound,0
4,4,5,t1,changing,Three or more sounds,0
5,5,5,t1,harmonic,One sound,0
6,6,5,t1,changing,Three or more sounds,0
7,7,5,t1,harmonic,Two sounds,0
8,8,5,t1,inharmonic,Two sounds,0
0,0,6,t1,harmonic,Three or more sounds,0
1,1,6,t1,inharmonic,Three or more sounds,0
2,2,6,t1,changing,Three or more sounds,0
3,3,6,t1,inharmonic,Two sounds,0
4,4,6,t1,harmonic,Two sounds,0
5,5,6,t1,changing,Three or more sounds,0
6,6,6,t1,changing,Two sounds,0
7,7,6,t1,inharmonic,Three or more sounds,0
8,8,6,t1,harmonic,Two sounds,0
0,0,7,t1,changing,One sound,0
1,1,7,t1,changing,One sound,0
2,2,7,t1,changing,One sound,0
3,3,7,t1,harmonic,One sound,0
4,4,7,t1,inharmonic,Two sounds,0
5,5,7,t1,inharmonic,Two sounds,0
6,6,7,t1,inharmonic,Two sounds,0
7,7,7,t1,harmonic,One sound,0
8,8,7,t1,harmonic,One sound,0
0,0,8,t1,inharmonic,One sound,0
1,1,8,t1,changing,Two sounds,0
2,2,8,t1,inharmonic,One sound,0
3,3,8,t1,changing,One sound,0
4,4,8,t1,changing,Two sounds,0
5,5,8,t1,inharmonic,One sound,0
6,6,8,t1,harmonic,One sound,0
7,7,8,t1,harmonic,One sound,0
8,8,8,t1,harmonic,One sound,0
0,0,9,t1,harmonic,One sound,0
1,1,9,t1,changing,Two sounds,0
2,2,9,t1,inharmonic,Two sounds,0
3,3,9,t1,changing,Three or more sounds,0
4,4,9,t1,changing,Two sounds,0
5,5,9,t1,inharmonic,One sound,0
6,6,9,t1,inharmonic,One sound,0
7,7,9,t1,harmonic,One sound,0
8,8,9,t1,harmonic,One sound,0
0,0,10,t1,harmonic,One sound,0
1,1,10,t1,inharmonic,Two sounds,0
2,2,10,t1,changing,Three or more sounds,0
3,3,10,t1,harmonic,One sound,0
4,4,10,t1,changing,Three or more sounds,0
5,5,10,t1,changing,Three or more sounds,0
6,6,10,t1,inharmonic,Three or more sounds,0
7,7,10,t1,inharmonic,Three or more sounds,0
8,8,10,t1,harmonic,Two sounds,0
0,0,3389,t1,changing,Three or more sounds,0
1,1,3389,t1,harmonic,One sound,0
2,2,3389,t1,harmonic,One sound,0
3,3,3389,t1,inharmonic,One sound,0
4,4,3389,t1,harmonic,One sound,0
5,5,3389,t1,changing,Three or more sounds,0
6,6,3389,t1,inharmonic,One sound,0
7,7,3389,t1,inharmonic,One sound,0
8,8,3389,t1,changing,Three or more sounds,0
0,0,6434,t1,harmonic,Three or more sounds,0
1,1,6434,t1,inharmonic,Three or more sounds,0
2,2,6434,t1,changing,Three or more sounds,0
3,3,6434,t1,harmonic,One sound,0
4,4,6434,t1,inharmonic,One sound,0
5,5,6434,t1,changing,Two sounds,0
6,6,6434,t1,harmonic,One sound,0
7,7,6434,t1,inharmonic,One sound,0
8,8,6434,t1,changing,Two sounds,0
0,0,7382,t1,inharmonic,Two sounds,0
1,1,7382,t1,changing,Two sounds,0
2,2,7382,t1,changing,Three or more sounds,0
3,3,7382,t1,harmonic,One sound,0
4,4,7382,t1,changing,Two sounds,0
5,5,7382,t1,inharmonic,Two sounds,0
6,6,7382,t1,inharmonic,Two sounds,0
7,7,7382,t1,harmonic,One sound,0
8,8,7382,t1,harmonic,One sound,0
0,0,9333,t1,harmonic,One sound,0
1,1,9333,t1,harmonic,One sound,0
2,2,9333,t1,harmonic,One sound,0
3,3,9333,t1,inharmonic,Two sounds,0
4,4,9333,t1,inharmonic,Three or more sounds,0
5,5,9333,t1,inharmonic,Three or more sounds,0
6,6,9333,t1,changing,Three or more sounds,0
7,7,9333,t1,changing,One sound,0
8,8,9333,t1,changing,One sound,0
0,0,15,t1,inharmonic,Two sounds,0
1,1,15,t1,harmonic,One sound,0
2,2,15,t1,changing,Three or more sounds,0
3,3,15,t1,harmonic,One sound,0
4,4,15,t1,changing,Three or more sounds,0
5,5,15,t1,changing,Three or more sounds,0
6,6,15,t1,harmonic,One sound,0
7,7,15,t1,inharmonic,Two sounds,0
8,8,15,t1,inharmonic,Two sounds,0
