,Unnamed: 0,pid,task,condition,response,gt,error,abs_error,abs_error_jit
9,9,2846,t2,harmonic,3.0,3,0.0,0.0,-0.06243897216514582
10,10,2846,t2,changing,5.0,3,2.0,2.0,2.064940928527788
11,11,2846,t2,harmonic,3.0,3,0.0,0.0,-0.06392517571901513
12,12,2846,t2,harmonic,3.0,3,0.0,0.0,0.02112596900977206
13,13,2846,t2,harmonic,3.0,3,0.0,0.0,-0.05299982093403297
14,14,2846,t2,inharmonic,4.0,4,0.0,0.0,-0.23153164291685943
15,15,2846,t2,changing,10.0,4,6.0,6.0,5.8702455940089635
16,16,2846,t2,changing,5.0,3,2.0,2.0,1.7895370378128317
17,17,2846,t2,inharmonic,2.0,2,0.0,0.0,-0.0716420245126734
18,18,2846,t2,changing,8.0,3,5.0,5.0,5.239069024397378
19,19,2846,t2,inharmonic,5.0,4,1.0,1.0,0.8770551042449917
20,20,2846,t2,inharmonic,3.0,3,0.0,0.0,0.01922915953119639
21,21,2846,t2,inharmonic,4.0,4,0.0,0.0,0.28181567678896896
22,22,2846,t2,changing,5.0,3,2.0,2.0,1.912706481222902
23,23,2846,t2,harmonic,2.0,2,0.0,0.0,-0.2948530967095779
9,9,2,t2,harmonic,2.0,2,0.0,0.0,-0.18806766327927874
10,10,2,t2,changing,4.0,4,0.0,0.0,0.05142829872679775
11,11,2,t2,harmonic,3.0,3,0.0,0.0,0.14864406138446262
12,12,2,t2,harmonic,2.0,2,0.0,0.0,-0.016999682586846764
13,13,2,t2,inharmonic,2.0,2,0.0,0.0,-0.060138660678183915
14,14,2,t2,harmonic,3.0,3,0.0,0.0,0.2359249233541554
15,15,2,t2,inharmonic,2.0,2,0.0,0.0,0.20100460897405906
16,16,2,t2,inharmonic,3.0,3,0.0,0.0,0.12275775544873069
17,17,2,t2,inharmonic,3.0,3,0.0,0.0,-0.10395159260144433
18,18,2,t2,harmonic,2.0,2,0.0,0.0,-0.16290618259972148
19,19,2,t2,inharmonic,3.0,3,0.0,0.0,0.04375406159735409
20,20,2,t2,changing,7.0,3,4.0,4.0,4.074705227792322
21,21,2,t2,changing,9.0,3,6.0,6.0,6.2529547636458025
22,22,2,t2,changing,8.0,3,5.0,5.0,5.2652692194161705
23,23,2,t2,changing,10.0,3,7.0,7.0,7.012858252644351
9,9,3,t2,changing,2.0,4,-2.0,2.0,1.7562153550094208
10,10,3,t2,inharmonic,2.0,3,-1.0,1.0,0.9670770942382337
