,orn_peak_ch,orn_peak_lat,orn_peak_amp,orn_mean_amp,pid,condition,ds
0,FC1,0.125,-4.793705969537606,-2.4769774328048793,1,inharmonic,orn_deviants
1,Fz,0.16,-2.2956627742077536,-0.9523484201701478,2,inharmonic,orn_deviants
2,FC1,0.16,-4.062621250777862,0.8718613882072347,3,inharmonic,orn_deviants
3,FC2,0.154,-1.3024034744223423,-0.558125717541824,4,inharmonic,orn_deviants
4,FC1,0.129,-0.5668890658442747,0.06554336065449072,5,inharmonic,orn_deviants
5,Fz,0.144,-2.501706718837557,-1.4126701097748182,6,inharmonic,orn_deviants
6,FC2,0.14,-3.6217476541249543,-1.7708377489155622,7,inharmonic,orn_deviants
7,Cz,0.143,-2.0623603606444947,-1.278191460616349,8,inharmonic,orn_deviants
8,FC1,0.126,-4.545152637063237,-2.856528199063678,9,inharmonic,orn_deviants
9,FC1,0.184,-1.7773747794644927,-1.0828890660571053,10,inharmonic,orn_deviants
10,Fz,0.149,-1.9486669161291637,-0.6128832165143261,11,inharmonic,orn_deviants
11,FC1,0.212,-3.2930133801016463,-2.342350297517038,12,inharmonic,orn_deviants
12,F4,0.152,-4.079261893944304,-2.781788004172752,13,inharmonic,orn_deviants
13,FC1,0.153,-2.57341245908695,-1.2779789975755689,14,inharmonic,orn_deviants
14,FC2,0.144,-2.775320213276482,-1.870350389660465,15,inharmonic,orn_deviants
15,,,,,16,inharmonic,orn_deviants
16,FC2,0.132,-4.471213959911347,-2.720473916179015,17,inharmonic,orn_deviants
17,F4,0.298,-6.8682519296326525,-4.396425327491786,18,inharmonic,orn_deviants
18,FC2,0.133,-2.8905897503457347,-1.7062489660714932,19,inharmonic,orn_deviants
19,FC2,0.147,-3.34998513814925,-1.850864086924382,20,inharmonic,orn_deviants
20,F4,0.214,-1.4943569505469931,0.02020198529980727,21,inharmonic,orn_deviants
21,Fz,0.138,-4.446562055264652,-2.9875161677820885,22,inharmonic,orn_deviants
22,Cz,0.182,-1.9228175326596584,0.2885870037285075,23,inharmonic,orn_deviants
23,Cz,0.181,-3.074223041097413,-1.456756623468229,24,inharmonic,orn_deviants
24,F4,0.142,-0.6844475979507719,0.07953697526760019,25,inharmonic,orn_deviants
25,FC1,0.123,-2.3294422481006904,-1.6277303344649605,26,inharmonic,orn_deviants
26,FC1,0.194,-2.6638211122664983,-1.7982092270113343,29,inharmonic,orn_deviants
27,Cz,0.149,-3.113058404446965,-1.9346196751021398,30,inharmonic,orn_deviants
28,F3,0.147,-4.368353096347616,-2.84683505450988,31,inharmonic,orn_deviants
29,FC1,0.154,-3.601441636112977,-2.2884603808298256,32,inharmonic,orn_deviants
30,F4,0.168,-2.4701521781524693,-1.4280724445883115,33,inharmonic,orn_deviants
31,Cz,0.177,-1.8785431829459818,-0.5063748298945699,34,inharmonic,orn_deviants
32,Cz,0.122,-1.4276157969326322,0.05365192362593632,35,inharmonic,orn_deviants
33,F3,0.232,-2.7390289081982084,-1.3757460662182548,36,inharmonic,orn_deviants
34,FC1,0.165,-2.2415894679229034,-0.7604134355743183,37,inharmonic,orn_deviants
35,Cz,0.255,-2.6169246942186906,-1.1608056314494997,1,changing,orn_deviants
36,F3,0.157,-0.46035652964171825,0.4058808246902554,2,changing,orn_deviants
37,F4,0.11,-7.550236885584161,-0.26962953795482714,3,changing,orn_deviants
38,Fz,0.14,-2.1399459456217693,-1.140520070710793,4,changing,orn_deviants
39,FC2,0.247,-0.5264012169218988,0.185654207989074,5,changing,orn_deviants
40,FC2,0.14,-1.7493259413317372,-0.9358897617333496,6,changing,orn_deviants
41,FC2,0.13,-2.5264267270038494,-0.607267505239849,7,changing,orn_deviants
42,Cz,0.128,-2.38917763651305,-1.2262466138681378,8,changing,orn_deviants
43,Fz,0.131,-2.9239950071380907,-1.473629319795174,9,changing,orn_deviants
44,Cz,0.122,-2.6885884949693835,-1.5064606489627954,10,changing,orn_deviants
45,Cz,0.3,-1.9357518575131802,-1.1150478703592108,11,changing,orn_deviants
46,Cz,0.184,-1.425075481007408,-0.54538518758301,12,changing,orn_deviants
47,Fz,0.147,-3.17129301578124,-1.8414205427604875,13,changing,orn_deviants
48,F3,0.227,-0.21843258619332281,1.2723942254201395,14,changing,orn_deviants
49,,,,,15,changing,orn_deviants
50,FC1,0.286,-1.8015118489899697,-0.26535509112522393,16,changing,orn_deviants
51,FC2,0.135,-3.833615877158483,-2.17663597876834,17,changing,orn_deviants
52,F4,0.251,-3.891886019046581,-1.5095319805439196,18,changing,orn_deviants
53,Cz,0.132,-1.7268594638002086,-0.4842778955471541,19,changing,orn_deviants
54,FC1,0.147,-3.0855103640652,-1.1149710646007596,20,changing,orn_deviants
55,FC2,0.257,-1.824455268794306,-0.8404829169961264,21,changing,orn_deviants
